0,pr**님,양이 많이 줄어든 느낌 이네요.,0
1,rh**님,혹시 hite 맥주 잘못 주신 것 아니에요? 생맥주라면 이런 맛이 안나오는데 ㅠㅠㅠ 너무 하시네요. 솔직히 별 하나 주기도 너무 싫어요...,0
2,mo**님,사진 찍고싶었는데 까먹고 다 먹어버�f네용 담에 또 시킬게요!!!!,0
3,ky**님,냄새에 홀려 정신나간듯 먹다가 사진찍었네요ㅜㅜ 이케큰콜라가 서비스라니 번창하세요~~,0
4,wi**님,여긴 맛이 검증된곳이라.할말 없음,0
5,ga**님,애들이 이것만 찾아요~~^^,0
6,63**님,할인 많이해서 사먹었어요,0
7,ka**님,배달 잘 받았어요! 그런데 수저포크 달라고 했는데 안주셔서 고생했어요ㅠㅠ,0
8,ch**님,바삭하고 순살 치킨 하면 이제 이 치킨만 먹고 싶네요,0
9,bs**님,리뷰이벤트로 소떡소떡 부탁드렸는제 없더군요... 맛은있으니까 별점5개 드립니다,0
10,mo**님,역대 최악의 치킨이었네요 ㅂㅁ1이나 ㅋㅍ이츠 같은 1집 배달 이용하면 매장 부담이 크다길래 그냥 요기요에서 주문했는데 도착까지 40분예정이던게 2배인 1시간 20분이나 걸리고 단순히 주문이 많아서 늦은거면 이해하겠는데 매장에서 집까지 차로 10분 거리를 도데체 몇군데나 뺑뺑 돌다왔는지 치킨이 아예 다 식어서 왔네요 차가워서 전자레인지에 데워 먹었습니다 콜라도 얼마나 흔들면서 왔는지 뚜껑 열자마자 폭발해버리고 그리고 전화해보니 배달대행이 아니라 자체 기사 쓴다고 하시던데 그럴수록 이런식으로 배달하는건 좀 아니지않나요? 다신 안시킵니다,0
11,pa**님,믿고먹는 후라이드입니다,0
12,ee**님,너무 마쉬써요 맨날 시립대에서만 시킴 ㅜㅜ,0
13,co**님,그냥 긴 말 필요없어요. 최곱니다.,0
14,je**님,튀김옷이 이상했어요.. 두껍고 눅눅하고.. 분식집 오징어튀김 같은 튀김옷이었어요.. 평소 먹던 맛이 아니네요,0
15,an**님,good。,0
16,ja**님,기가막힙니다~!!@,0
17,pr**님,치킨 오자마자 눈 돌아가서 먹느라 사진을 못 찍었네요 믿고 먹는 BHC입니다,0
18,ca**님,바삭 후라이드. 입에 베어물면 터져나오는 맛,0
19,kh**님,조항요 양도 많습니다,0
20,bs**님,예상시간보다 더 빨리왔어요,0
21,ad**님,바삭한 뿌링글과 치즈볼 말이 필요없는 최애 간식입니다,0
22,al**님,1234567889,0
23,da**님,가루가 덜 묻은건지 배달이 밀린건지 좀 눅눅해져서 받았어요 그거 외엔 괜찮아요,0
24,wa**님,내 소울메이트 언제먹어도.안질려요,0
25,pd**님,벌써 쿠폰 20장 넘게 모았습니다. 이하 설명 생략,0
26,mo**님,살짝 식어서 와서 아쉽네요 맛은 있습니다,0
27,qk**님,???????????,0
28,gh**님,오늘은 더 신선한 맛이네요 푸짐하고 기름이 깨끗해요,0
29,so**님,뿌링클 맛집!bbb,0
30,dl**님,최소한 최근 5년 내에 먹은 치킨 중에 이게 최악. 치킨 열자마자 테이블 4인 동시에 욕나왔음 내가 해도 이거보단 잘할듯 튀김옷 좀 보세요 ㅋㅋ,0
31,he**님,매번여기서만 시킵니다ㅎㅎ,0
32,bb**님,배달이 좀 빨랐으면 합니다.,0
33,ly**님,순살 맛초킹도 킹입니다,0
34,ha**님,맛은 물론이고 양도 많았어요,0
35,bj**님,까먹고 늦게썼는데 비오는날인데두 하나도 안젖었어용,0
36,ch**님,갓링클... 말이 필요없음,0
37,wi**님,리뷰약속때문에 5점 남기기는 하는데요 뭐가 잘못된건지 튀김옷이 축축하고 집어들기만해도 튀김옷이 너덜너덜 떨어지네요,0
38,ps**님,JMTJMTJMTJMT,0
39,ys**님,않이 리뷰 볼 시간 아껴서 빨리 주문하세요ㅋㅋㅋ,0
40,mi**님,고기가 질긴가 했는데... 잘 익지 않아서 뜯다가 버리겠어요. 애기도 같이 먹는데 다음에는 더 바싹 튀겨주세요.,0
41,wn**님,배달 완전 빨랐어요!!!!! 완전 따끈하고 치즈볼도 늘어나게 먹을수있었어요ㅜㅜㅜ,0
42,ss**님,BHC 붐바스틱은 말힐 필요가 없음,0
43,se**님,시 립 대 점 사 랑 해,0
44,ab**님,乃,0
45,ch**님,뿌링클은 시립대점이에요 무조건,0
46,ki**님,너무 기름져서 아쉬웠어요. 평소와 다르게.. 행사날이어서 그랬는지 아쉬웠음,0
47,by**님,2시간 정도는 예상하고 시키세요... 저도 아래 댓글처럼 90분 예상시간 넘기길래 전화했더니 배달기사님 도착하시면 출발한다고 하시더라고요!,0
48,my**님,골드킹은 처음 시켜봤는데 교촌이랑은 또 다른맛이네여 또 사먹으러 올께영,0
49,r3**님,????????????????????????????????????????????,0
50,0a**님,질 먹었습니다 머리카락이 있었지만 바쁘셨는데 실수 하셨을거라 생각해요ㅠ 조금더 위생에 신경써주세요!,0
51,qh**님,생각나면 시키고는 해요,0
52,on**님,GOOD!!!!!!!,0
53,wk**님,핫후라이드 꼭 시켜드세요!,0
54,wr**님,이지역 bhc는 시립대점이 체고.. ??,0
55,ju**님,이렇게 늦을거면 배달비를 받지말거나 아얘 주문을 받지마세요.90분 안내받고 110분 걸렸어요. 90분되서 전화하니깐 기사 도착하면 곧 출발한다고 하는게 말이나 됩니까?,0
56,p2**님,현관문앞에 그냥 치킨을 두고 가시더군요,0
57,rl**님,"배달예정시간 80분보다 30분늦은 110분만에 왔습니다. 따로 늦어진다고 안내받은 것은 없었고 나중에 105분쯤 지나서 배달이언제오나 전화드렸을때 사장님께서 배달이늦어 죄송하다고 사과는하셨습니다. 다만 배달이 이렇게늦게오고, 눅눅하고 기름지다못해 기름에 젖어있는 치킨에 대한 책임은 소비자인 제가 온전히 져야하는지 저는 잘 이해가 안가네요. 단순히 배달이 늦어서가 아니라 이렇게 밑에깔린 치킨조각들이 기름에 흥건히 젖어있는 정도인데 화가 많이 나네요.",0
58,ba**님,이집저집먹어봤지만 여기 뿌링클만한곳이없음,0
59,co**님,yummy yummy,0
60,lh**님,????????????????????????????????????????????,0
61,ck**님,쨘쨩~~!~!~!~!,0
62,yu**님,핫후라이드 개인적으로 후라이드 원탑,0
63,oo**님,#식후감 괜찮았어요~^^,0
64,hm**님,리뷰가 좀 늦었네요 ㅠ 믿고 먹는 뿌링클입니다!!,0
65,k2**님,엄.. 맛은 있는데 뿌링클 가루가 잘 안 베겨져왔고 생각보다 뻣뻣힛어요,0
66,bo**님,후라이드 맛집이네,0
67,hy**님,와 그냥 여긴 치킨을 잘하네요,0
68,wh**님,생각 날 때 매일 시켜요~~,0
69,wl**님,간장소스가 엄청 짜네요,0
70,sa**님,다리는 딸들 날개는 와이프...^^,0
71,vu**님,리뷰이벤트 받아서 좋게 쓸라해도 튀김질이 어제 남은거 다시 튀긴거마냥 구려서 거짓말은 못하겠고 별로임 다신 안시켜 먹을듯,0
72,kn**님,Bhc 후라이드 매력 아주 잘 느꼈습니다 번창하십쇼!,0
73,yt**님,믿고먹는 BHC에요,0
74,me**님,언제나 먹어도 맛난 뿌링클!!,0
75,ne**님,배달은 예상시간보다 늦었지만 ...날씨가 추우니 이해가 되는데 날개쪽을 먹다가 냄새가 너무 심해서 봤더니 익지 않았네여 ...너무 실망입니다,0
76,yh**님,골드킹콤보 퍽퍽살이없어서 너무좋.아요,0
77,as**님,바삭한 뿌링글과 달콤바삭치즈볼~ 최애 메뉴라 자주 먹게 되네요,0
78,wi**님,믿고먹는 맛입니다.진짜 바삭해요,0
79,79**님,결국은 돌고 돌아 뿌링클로 돌아온다는,0
80,si**님,쿠폰 안주셨어요ㅜ 다음 주문 때 쿠폰 2개 챙겨주세요( ??? ),0
